Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
eks-,"{Ｂ}［接頭辞］（前・先・元を示す）, >>eksedzo, >>eksministro",［前缀］表示前、原、前任的、退职的,"I. <접두> ①전직(前職)을 가리킴. ～ministro 전(前)장관; ～prezidento 전(前)대통령. ②(짐승 따위에)거세(去勢)한. ～tauxro 거세(去勢)한 황소; ～porko 거세한 돼지. ☞ kastri, euxnuko. II. “I. ①” 을 뜻하는 독립단어. ～ ! <감탄사> “vivu!”의 반대를 뜻함. 꺼져!, 사라져!, 돼져라!; ～a 이전(以前)의, 전직(前職)의, 퇴직한. ～a oficisto 전직 사무원. ～igi …를 해임시키다, 해고시키다. ～igxi 퇴직(사직)하다. ☞ abdiki, demisii, rezigni, apostatigxi. ne～igebla 해고시킬 수 없는.",B,9.0,2.0,5.67,7.33
eksciti,"{Ｂ}［他］刺激する, 興奮させる; 《転》かき立てる, そそる; 【理】励起する",刺激，激发；助长,"[타] ①자극하다, 분발시키다. ☞ stimuli, vigligi, iriti. ②흥분시키다, (흥미 따위를)일으키다. ※마음의 움직임을 극단적으로 강하게 하다. ☞ instigi, akceli. ③고무(鼓舞)하다, …의 활동을 활발하게 하다. ④<물리> 촉진(促進)하다. ～ajxo 자극성 있는 음식. ～igxi 자극되다, 흥분되다. ～ilo ①<의학> 각성제(覺醒劑). ②<전기> 방전기(放電機). blov～i 바람을 불어서 불을 일으키다. kor～a 마음을 흥분시키는(자극하는).",C,7.0,3.0,8.79,7.9
ekskursi,{Ｂ}［自］遠足する; （話が）脇道へそれる,远足,"①소풍(逍風), 원족(遠足), 짧은 여행. ②(이야기 따위에서)탈선, 본제에서 벗어나기. ～ema 소풍가기를 좋아하는(자주 가는). ～i [자] 소풍가다.",B,7.0,2.0,5.67,6.33
eksperimento,"{Ｂ}実験, （実地の）試み",实验,"실험(實驗), 시험(試驗). ～i [타] 실험하다. ～a 실험의. ～a scienco 실험과학. ～ejo 실험실, 시험소(試驗所). ～ismo 실험(경험)주의.",C,8.0,3.0,8.79,8.4
eksplodi,"{Ｂ}［自］爆発する, 破裂する; 《転》激高する; 《転》勃発（ぼっぱつ）する",炸裂，爆炸；爆发，突然开始,"[자] ①폭발하다, 파열하다. ☞ ekflami, flagri. ②(…속의 가스가 팽창하여)부풀어 올라 터지다. ☞ disrompigxi, dissalti, dissplitigxi, implodi. ③<비유> (사람이)분격하다, 호통치다, (감정이)격발하다, 폭발하다. ④<비유> 급작스럽고 요란하게 시작되다. ～o 폭발, 파열. ～ajxo 폭발물, 폭약, 기폭제. ～ema 폭발성의, (비유)격정적인. ～igi 폭발시키다. ～igilo 뇌관(雷管). ～ujo 실린더, 연소실(燃燒室)(엔진에서 연료가스가 폭발하는 부분). ～motoro 내연기관(內燃機關).",C,8.0,3.0,8.79,8.4
ekspluati,"{Ｂ}［他］開発する, うまく利用する; 搾取する; 酷使する",开发，开采；剥削，榨取,"[타] ①개발(개척)하다, 채굴하다, (특색 등을)살리다, 활용하다. ～i minejon, fervojon 광산을, 철도를 개발하다. ②(남의 노동력 등을)착취하다, (이기적인 목적으로)이용하다, 미끼삼다. ～i la laboristojn 노동자들을 착취하다. ☞ elsucxi. ～o, ～ado 개발, 착취. ～anto 개발하는 사람. ～isto 착취자(搾取者).",C,9.0,3.0,8.79,8.9
eksporti,"{Ｂ}［他］輸出する, ><importi",输出，出口,"[타] <상업> 수출하다. ～o, ～ado 수출. ～ajxoj 수출상품. ～isto 수출상(輸出商).",C,9.0,3.0,8.79,8.9
ekspozicio,"{Ｂ}展示会, 展覧会, 博覧会; 陳列, 展示, =ekspono; =ekspoziciaĵo; =ekspoziciejo",展览；展品；展览会场,"(예술품・상품 따위의)전시회, 전람회, 박람회. ～i 전시하다. ～ejo 전시장(展示場).",C,9.0,3.0,8.79,8.9
ekster,"{Ｂ}［前］～の外で, ～の外に; ～のほかに, ～以外",在…之外,"I. <전치사> ①…밖에. ☞ el, for, de. ②…를 제외하고, …외에. ☞ escepte, ekskluzive. II. “I”의 뜻을 지닌 단어로 쓰임. ～a 밖의, 외부의, 외견상, 겉으로 보기에 …한. ～a flanko 바깥 쪽; ～a muro 벽의 바깥쪽. ～e 밖에(서), 겉에. ～en 밖으로. ～o, ～ajxo 겉, 외면(外面), 외관(外觀), 외부(外部). ☞ aspekto, sxajno. ～igi 밖으로 내보내다. ～igxi 밖으로 나가다, 차에서 내리다. ～igxi el veturilo 자동차에서 내리다. ～ulo (학교의)통학자(通學者), (직장의)통근자(通勤者), 외부인(外部人). III. <접두> “I”의 뜻을 갖는 접두어. ～urba gastejo 시외(市外)의 호텔; ministro por ～landaj aferoj 외무부 장관.",A,1.0,1.0,2.54,1.77
ekstrema,"{Ｂ}末端の, 果ての, ぎりぎりの; 極端な, 極度の",极远，末端；极端，极度,"①(중심에서)가장 멀리 떨어진, 말단(末端)의, 가장 바깥쪽의. ☞ lasta. ②(성질・상태・정도가)극도의, 극심한, 극단적인, 지극(至極)한. ～e 극단적으로, 극도로. ～o 말단, 극도(極度), (비유)한계(限界). ～ajxo ①어떤 물건의 끝 부분. ②사지(四肢)의 말단. ～ismo <정치> 과격주의. ～isto 과격주의자, 극단주의자. ～umo <수학> 극치(極値).",B,8.0,2.0,5.67,6.83
ekvilibro,"{Ｂ}均衡, 平衡, 釣合い; 【理】平衡",平衡，均衡,"①평형(상태), 균형. ☞ stabila, labila, astata. ②<물리> (힘의)평형. ③<비유> (마음의)평정, (세력 따위의)균형. ～a 균형잡힌. ～i [자] 균형이 잡혀 있다. ～igi 균형을 잡다(유지하다). ～ilo 줄타기 곡예사가 균형을 잡기위해 사용하는 긴 막대기. ～ismo 줄타기 곡예. ～isto 줄타기 곡예사. ☞ sxnurdancisto, jxonglisto.",B,8.0,2.0,5.67,6.83
ekzakta,"{Ｂ}正確な, 精密な, 厳密な, >>senerara, >>strikta",准确，精确,"정확한, 정밀한. ☞ senerara, rigora, strikta.",C,9.0,3.0,8.79,8.9
ekzameni,"{Ｂ}［他］調べる, 検査する, 検討する; 試験する; （容疑者を）取り調べる",考核，检查，审查，考试,"[타] ①검사・조사・심사하다, 진찰하다. ☞ inspekti, prisercxi, kontroli. ②시험하다, (수험생에게)시험을 보게 하다. ③(피고・혐의자를)취조하다. ～o 검사, 취조, 시험, 진찰. ～igxi 시험보다, 시험을 거치다.",B,7.0,2.0,5.67,6.33
ekzemplo,"{Ｂ}例, 実例; （語の）用例; 模範, 手本",模范，榜样；例子,"①모범, 본보기. ②예문(例文), 보기. ③실례(實例), 예증(例證). ～a 모범적인. ～e 예를 들면. ～i 예를 들어 설명하다, 실증(實證)하다. ～odona 좋은 모범을 보여주는. sen～a 전례(前例)가 없는, 무비(無比)의. ☞ senprecedenca, senprecedenta.",B,4.0,2.0,5.67,4.83
ekzerci,"{Ｂ}［他］訓練する, 練習させる, >>disciplini, >>hardi",练习，训练，锻炼,"[타] 훈련시키다, 연습시키다. ☞ dresi, trejni, hardi. ～o 연습(훈련)을 하기위한 자료: 연습문제, 읽을거리 따위. ～ado 연습, 훈련. ～aro 연습문제집. ～ejo 훈련장(訓練場), 연습장(場). ～igxi sin ～i. ～i sin 연습하다, 훈련하다. ～iteco 훈련정도, 숙련도(熟練度), 연습량. ～opeco <음악> 연습용 악보.",B,7.0,2.0,5.67,6.33
ekzisti,"{Ｂ}［自］存在する, 実在する",存在,"[자] 존재하다, 있다. ☞ esti, vegeti, vivi. ～ado ①실존(實存), 생존(生存). ②생활(양식). ～adismo <철학, 예술> 실존주의. ～adisto <철학, 예술> 실존주의자. ～ajxo 실존물(實存物), 실존하는 것. ～igi …을 있게하다, 실존케 하다. kun～i 공존(共存)하다, 동일한 시간과 장소에 함께 존재하다. kun～o 공존(共存).",A,5.0,1.0,2.54,3.77
el,"{Ｂ}［前］～の中から, ～から出た, ～のうちの, ～製の",从…中；出于,"I. <전치사> ①…속으로부터. ②…로부터. ※“모양이 바뀌기 전의 상태로부터”를 뜻함. ☞ de, en ⑤. ③…에서, …로부터. ※“추상적・은유적 원전이나 출처로부터”를 뜻함. ④…로부터, …에 의해, …로 인하여. ※느낌이나 사상(思想)의 원인, 논리의 근거를 나타냄. ☞ de, pro. ⑤…중(中)에서. ☞ inter. ⑥…로 만들어진. ※무엇을 구성하는 물질・재료를 뜻함. statuo ～ marmoro 대리석상(像). II. “I” 의 뜻을 갖는 독립적인 단어로 쓰임. ～e 밖에, ekstere. ～igi …을 발생하다, 내보내다. ☞ produkti, disvastigi, ellasi, elsendi, elradii. ～igxi …속으로부터 나가다, 내리다. ～igxas varmo (몸에서)열이 나가다. III. <접두사> ①안에서 밖으로의 방향을 나타낸다. ～meti 내어 놓다; ～preni 꺼내다. ②어떤 행위의 완결(완성)을 뜻한다. ～trinki 다 마셔버리다; ～lerni 다 배우다, 마스터하다. ③어근이 나타내는 행위의 결과로 무엇을 받다(얻다). ～peti 부탁해서 …을 얻다; ～flati 아첨하여 …을 얻다; ～auxdi iun 누구의 말을 들어주다(청을 듣다). ☞ per, pri.",A,1.0,1.0,2.54,1.77
elefanto,{Ｂ}【動】ゾウ（象）,象属动物,<동물> 코끼리. ～estro 코끼리 목에 걸터앉아 코끼리를 모는 사람. ～osto 상아(象牙). mar～o 해상(海象).,C,8.0,3.0,8.79,8.4
eleganta,"{Ｂ}上品な, 趣味のよい, 優美な",雅致，优雅，优美，漂亮,"(복장・예절 따위가)고상한, 우아한, (취미・습관・문체가)기품 있는, 품위 있는, 고상한. ☞ luksa, moda, rafinita. ～eco 기품(氣品), 아취(雅趣). ～ulo 우아한 남자. ☞ dando. mal～a 품위 없는, 천박한, 속된. ☞ vulgara, plumpa.",C,8.0,3.0,8.79,8.4
elekti,"{Ｂ}［他］選ぶ, 選択する, 選定する, >>kribri; 選挙する, >>baloti",选择，选举,"[타] ①선택하다, 고르다. ☞ loti, kribi. ②선출하다, 뽑다, 선거하다. ☞ baloti. ～o 선택, 선별, 선거. ～anto 선택자(選擇者), 선거인. ～antaro 선거인단. ～ebla ①선택할 수 있는. ②피선거권이 있는. ～ejo 투표소. ～ema 고르기 좋아하는, 까다로운, 결벽한, 꼼꼼한. ☞ delikata, postulema. ～inda 선택할 가치가 있는. ～ita 선출된, 선택된, 당선된. ☞ preferita, elita. ～ito ①당선자. ②<성서> 선민(選民), 선택된 민족. ～rajto 선거권. al～i 선임(選任)하다. el～i 선별(선발)하다. ne～ebla 피선거권이 없는. post～o 보궐선거. sen～e 무투표로, 차별 없이, 맞든지 안 맞든지, trafemaltrafe.",A,4.0,1.0,2.54,3.27
elektro,{Ｂ}電気,电,"<물리> 전기(電氣). ☞ baterio, pilo. ～a ①전기의. ～aj unuoj 전기의 단위들(ampero, farado, jxulo, volto, vatto). ②전기로 작동되는. ～e 전기(電氣)로(써). horlogxo ～e funkcianta 전기로 가는 시계. ～i [타] ①…에 전기를 통하게 하다. ②(감전된 것처럼)흥분시키다, 감동시키다, 도덕적으로 마음을 흔들어 놓다. ～ebla 전기를 전도(傳導)할 수 있는, 전도(傳導)의. ～ejo 발전소, centralo. ～igi …을 대전(帶電)시키다, 전화(電化)시키다. ～ismo 전기(電氣)현상. ～isto 전기기사. ～izi 전기를 공급하다, 전기로 작동시키다. ～odinamiko 전기역학. ～oencefalogramo <의학> 뇌전도(腦電圖). ～okemio 전기화학. ～omagnetismo 전기 자기학. ～omagneto 전자석. ～ometro 전위계(電位計). ～omotoro 전동기. ～onaska <동물> (전기뱀장어 따위가)전기를 발생하는. ～otekniko 전기공학. ～oterapio 전기요법.",B,7.0,2.0,5.67,6.33
elemento,"{Ｂ}要素, 成分; 基本原理, 初歩; 【化】元素; 自然の力, 悪天候; （本来の）生息環境, 活動領域",元素；成分；原理，初步,"①<철학> (옛날 자연계의 기본적 구성 요소로 생각됐던)4대 요소 중 하나. ②(생물의)본래 사는 장소, 고유 영역, 본래의 활동 영역. ③대 자연력 중의 하나(바람, 바다 따위). ④<화학> 원소(元素). ⑤요소(要素), 성분, (구성)분자. ⑥(학문의 기본적인)원칙, 원리, 초보, 기본원리. ⑦<전기> (전지의)전극의 하나. ～a ①기본적인, 기본적 성질의, 기초적인. ②시작하는, 초급의, 초보적인, 첫째 단계의.",B,9.0,2.0,5.67,7.33
embaraso,"{Ｂ}当惑, 困惑, 狼狽（ろうばい）; 障害, 迷惑, 厄介（やっかい）",困境；狼狈，尴尬,"①난처한(곤란한, 괴로운) 상황(입장). ②당황, 당혹, 곤혹, 주눅, 어색함. ～a ①당황케 하는, 당혹시키는, 난처하게 하는. ～a situacio 난처한 상황. ②난색을 표하는. ～a mieno 난색을 표하는 표정. ～i [타] 난처하게 하다, 곤란하게 하다, 당황케 하다. ☞ konfuzi, konsterni. ～igxi [자] 당황하다, 난처하게 되다. mal～i 난처한 상황에서 건져내다・해방시켜주다.",B,7.0,2.0,5.67,6.33
emerito,"{Ｂ}（年金を受給できる）退職者, >>pensiulo",离休者，退休者,정년 퇴직자. ☞ veter-ano. ～a ①퇴직한. ～a profesoro 퇴직 교수. ②정년퇴직과 관련된. ～a salajro (pensio) 연금(年金); ～e vivi 정년퇴직자로 살아가다. ～eco 은퇴생활. ～igxo 정년퇴직.,C,9.0,3.0,8.79,8.9
eminenta,"{Ｂ}傑出した, 抜きんでた, 優れた, 卓越した; 高位の, 高名な, 著名な",卓越，杰出；优质，优良,"①(사람)저명한, 유명한, (신분・지위가)높은, 고위(高位)의, 뛰어난, 탁월한. ②(물건)(질적으로)우수한, 두드러진, (산・건물 등이)높이 솟은. ～a servo 우수한 서비스; ～a rolo 탁월한 역할. ☞ elstara, rimarkinda. ～eco 고위, 고명(高名). ～igi …를 저명(유명)하게 만들다. ～ulo 저명한 사람, 고위 인사. ☞ nobelo, estro, auxtoritatulo. mal～ulo, ne～ulo 이름 없는 사람, 하찮은 사람. ☞ senfamulo, nulo.",C,8.0,3.0,8.79,8.4
en,{Ｂ}［前］（場所）～の中で; （時間）～の間に; （状態）～において; （衣服）～を着て,在…里,"I. ①(…이 들어 있는 장소)…속에, 안에. ②(…이 향해 가는 장소)(목적격과 함께)…속으로. iri ～ kinejon 영화관 안으로 들어가다. ③(시간)…이 발생하는 시간, …하는 동안. tio estis ～ lundo matene 그것은 월요일 아침에 있었다. ☞ cxe, je, dum. ④무엇을 하기 위한 시간의 길이. mi legis la libron ～ kvar tagoj 나는 그 책을 열흘 안에 다 읽었다. ⑤어떠한 상태. mi vagis ～ mizero 나는 비참한 상태로 (비참하게 되어) 방황했다. ⑥어떤 행위가 이루어지는 환경. ☞ laux, cxe, per, je. ⑦변화된 물건의 최종 상태, 모습이 바뀐 결과. ☞ al. II. “I”의 뜻을 가진 독립단어. ～a 안의, 내부의. ～e 안에, 내부에. ～igi 넣다. ☞ penetrigi. ～igxi 들어가다. ☞ interveni, enmiksigxi. III. ①<접두> “I”과 “II”의 뜻을 가진 접두사로 쓰임. ～brakigi …을 팔 안에 안다; ～busigxi 버스에 타다; ～dormigxi 잠들다; ～gluti 삼키다; ～havo (책 따위의)내용, 목차; ～iri 들어가다; ～kasigi 금고 안에 넣다; ～meti (…을 안에)넣다; ～skribi 기록하다; ～terigi 땅 속에 매장하다, 묻다; ～vicigi 대열에 끼다; ～sxipigxi 배에 오르다.",A,1.0,1.0,2.54,1.77
energio,"{Ｂ}活力, 精力; 【理】エネルギー; 【環】エネルギー",精力，干劲；能,"①정력, 활력, 활기, 원기. ②<물리> 에너지. ～a 정력적인. ～e 정력적으로. ～i 활력을 불어넣다. ～dona 정력을 증진시켜 주는. sen～a 무기력한. ☞ mola, malforta, anemia.",B,7.0,2.0,5.67,6.33
enigmo,"{Ｂ}謎（なぞ）; 《転》不可解なもの, >>mistero",谜语,"①수수께끼. ②불가사의한 일(것). ☞ mistero. vort～o 글자 맞추기 놀이, logogrifo.",C,8.0,3.0,8.79,8.4
entrepreni,"{Ｂ}［他］企てる, 着手する, 取りかかる",着手，从事，进行,"[타] …을 기도(企圖)하다, …을 착수하다. ～o ①착수한 일. ②사업, 기업. la mezaj kaj malgrandaj ～oj 중소기업. ～ejo 사업장(事業場). ～ema 진취적인, 과감한, 사업을 수행함에 있어 용기 있고 기꺼이 하는. ☞ riskama, aventurama. ～isto 기업가, 청부업자.",C,8.0,3.0,8.79,8.4
enui,"{Ｂ}［自］退屈している, うんざりしている",生厌，倦怠，感到无聊,"[자] 싫증나다, 지루하다, 흥미를 잃다, 권태를 느끼다. ☞ oscedi. ～o 싫증, 권태, 지루함. ～a 지루한, 싫증나는. ～a mieno 지루한 표정. ～igi 지루하게 하다, 싫증나게 하다, 권태롭게 하다. ☞ tedi. mal～igi 즐겁게 하다, 권태를 물리쳐주다.",C,7.0,3.0,8.79,7.9
envii,"{Ｂ}［他］欲しがる, >>avidi; うらやむ, ねたむ, >>ĵaluzi",羡慕，忌妒,"[타] …을 시샘하다, 부러워하다, 선망(羨望)하다. ☞ jxaluzi, avidi. ～o 부러움, 시새움, 선망. ～a 부러워 하는. ～ema 시샘을 잘 하는. ～inda 부러워 할만한. ～ulo 쉽게 시샘을 하는 사람. sen～e 부러움 없이, 너그럽게, 유감 없이.",C,8.0,3.0,8.79,8.4
epoko,"{Ｂ}時代; 【地質】世, >>periodo（紀）, >>erao（代）, >>aĝo（期）",纪元，时代,"①신기원, 신세기. ②시대(時代). antauxhistoria ～o 선사시대(先史時代). ☞ paleolitiko, neolitiko, tempagxo, erao. ③<지질> 세(世), 기(期). ～fara, ～faranta 획기적인, 신기원을 여는. Mez～o 중세(中世)(476-1453).",B,7.0,2.0,5.67,6.33
erari,"{Ｂ}［自］誤る, 間違う; 道に迷う",迷路；犯错误，犯过失,"[자] ①올바른 길에서 벗어나다, 길을 잃다. ～i en arbaro 숲 속에서 길을 잃다. ☞ vojerari, erarvagi. ②진실에서, 옳은 의견・계산에서 벗어나다, 틀리다, 실수하다. ☞ malpravi, trompigxi. ③도의적 의무에서 벗어나다, 실수하다, 죄를 짓다. ☞ peki. ～o ①옳지 않은 의견・태도・행위, 잘못, 실수. ☞ maltrafo, malsagxajxo. ②계산・말・문장에 있어서의 착오, 잘못, 오류. ～a 틀린, 오류가 있는, 잘못된. ～ema 잘못을 저지를 수 있는. ～igi 틀리게 하다, 실수하게 하다. ～lumo 도깨비불, 귀화(鬼火). ～tabelo (책의)정오표(正誤表), eratumo. pres～o (인쇄의)오자(誤字). sens～o 착각(錯覺), 환각(幻覺). voj～i, ～vagi 길을 잃다.",A,4.0,1.0,2.54,3.27
escepti,"{Ｂ}［他］除外する, 例外とする, >>ekskludi",排除，除外,"[타] …을 제외하다, …을 빼다, …을 예외로 하다. ☞ ekskluzivi. ～o 제외, 예외. ～a 예외적인. en tiaj ～aj okazoj 그러한 예외적인 경우에. ～e ①예외적인 경우에. ②예외적으로, eksklude. ～e de, kun ～o de …을 제외하고. ☞ ekskluzive, krom, ekster, flanklasi. ～e se …하는 경우를 제외하고, …하지 않으면, …이 아니면, krom se. sen～e 예외 없이, nepre, absolute.",B,8.0,2.0,5.67,6.83
esenco,"{Ｂ}本質, 真髄, 核心; 【化】エッセンス, 精油; 【哲】実在, >>noumeno",本质，实质，核心,"①<철학> 본질, 진수(眞髓), 정수(精髓). ☞ noumeno. ②본질적 요소・부분. ③(가장 중요한)핵심, 무엇이 꼭 갖추어야 하는 성질. ☞ principo. ④<화학> 정(精), 정유(精油), 향수(香水). ～a 본질의, 특유한, 불가결한. ☞ fundamenta. ～e 본질적으로. sen～a 핵심이 없는, 내용이 없는.",B,8.0,2.0,5.67,6.83
esperi,"{Ｂ}［自・他］希望する, 期待する, >>deziri, >>atendi",希望，期望,"[타] 희망하다, 기대(期待)하다. ☞ fidi, antauxvidi, auxguri, sopiri. ～o 희망, 기대. ～dona 희망을 주는; ～plena 희망찬; ～ebla 희망할 수 있는, 희망적인, 기대되는. ～eble 희망컨대, 기대하건데. ～igi 희망을 주다(갖게 하다). mal～o 실망, 절망, 낙담(落膽). mal～a 절망적인. mal～igi 실망시키다, 낙담시키다. sen～a 희망 없는.",A,4.0,1.0,2.54,3.27
esplori,"{Ｂ}［他］探検する, 踏査する; 調査する, 探究する, 研究する; 【医】診査する, （精密）検査する; 【法】審理する",考察，探索,"[타] ①탐색하다, 탐험하다. ☞ skolti. ②찾다, 조사하다. ☞ elsercxi. ③<의학> 진찰하다, 조사하다. ～i vundon 상처를 조사하다. ☞ auxskultumi, sondi. ④<법률> 심문하다, 취조하다. ～o 탐색, 탐험, 조사. ～ema 탐색하기를 좋아하는. ～isto 탐험가, 탐사자. el～i [타] 조사해서 알아내다. ne～ebla 탐색할 수 없는. sin～ema 자신을 항상 관찰하는, 자성(自省)하는.",B,7.0,2.0,5.67,6.33
esprimi,"{Ｂ}［他］表現する, 示す, 言い表す, >>eldiri",表示，表现，表达,"[타] 표현하다. ☞ eldiri. ～o 표현, 표정. ～iva 표현(력)이 풍부한. ～plena 표정(표현)이 풍부한. mis～o 틀린 표현, 부적합한 표현. ne～ebla 표현할 수 없는. sen～a 무표정한. sen～a vizagxo 무표정한 얼굴",B,7.0,2.0,5.67,6.33
establi,"{Ｂ}［他］設置する, 開設する, 創立する, 確立する, 制定する",设立,"[타] 개설(開設)하다, 창립(건립)하다, 설치(설립)하다. ～i firmon, negocon, butikon 회사를, 거래를, 가게를 개설하다. ☞ instali, loki, starigi. ～o, ～ajxo 개설・설치한 것(회사・병원・상점・시설물 따위). ☞ institucio, instituto, entrepreno, firmo.",C,9.0,3.0,8.79,8.9
esti,"{Ｂ}［自］（～）である; いる, 存在する",存在；是,"[자] ①있다, 존재하다. mi pensas, do mi ～as 나는 생각한다, 고로 나는 존재한다. ②추상적인 것의 실제성을 강조하기 위한 동사로 쓰임. ③무엇이 어떤 장소나 상황 속에 있다는 사실을 나타내는 동사. ～i en urbo 시내에 있다. ④느끼는 인상・감각을 표현하기 위해 부사와 함께 쓰임. kiel ～as al vi? 당신은 어떻습니까? (kiel vi fartas?; en kia stato vi estas?). ⑤…이다, ···하다. ※주어와 보어를 연결하는 동사로 쓰임. sxi ～as bela 그녀는 아름답다. ⑥복합시제를 만드는 데 쓰이는 동사. li ～as leganta libron 그는 책을 읽고 있다. ～o 존재, 있음. ※무엇이 존재하는 것에 대한 일반적 개념. ～ado ①존재. ②참석. ～ajxo ①존재하는 모든 것, 존재물. cxiela ～ajxo 하늘에 거(居)하는 것. ②생존물, 생물. ～anteco 현재(現在). ☞ prezenco, nuno, nuntempo. ～ebleco 존재 가능성. ～igi 생기(생겨나)게 하다, 발생시키다. ☞ naski, krei, okazigi, kauxzi, produki, starigi. ～igxi 생겨나다, 발생하다. ～inta ①이전의, 지금은 없는, 언젠가 있었던. ☞ eks. ②<문법> 과거의. ～inteco 과거. ～onta 미래의. ～intajxo 과거의 일. ～ontajxo 앞으로 일어날 일. ～onteco 미래. ～ulo 생물, 살아있는 것. al～i, apud～i, cxe～i …에 참석하다, 출석하다. ☞ partopreno. al～o, cxe～o 참석. cxe～antaro 참석자 (전체)집단. cxie～a 어디든지 존재하는, 무소부재(無所不在)의. for～i 부재(不在)하다, 없다, 결석하다. for～o, for～ado 부재(不在), 결석. kun～i 공존(共存)하다. kun～ado 공존(共存). ☞ kompanio, societo. mal～igxi 소멸되다, 없어지다. mal～o 부족(不足), 결여(缺如). ne～o 부재(不在). la ne～o de dio 신(神)의 부재(不在). tio ～as (생략형: t.e.)그것은 즉(卽)…이다.|||estono 에스토니아 사람.",A,2.0,1.0,2.54,2.27
estimi,"{Ｂ}［他］尊敬する, 尊重する, 高く評価する, >>ŝati, >>respekti",尊重，敬重，敬仰,"[타] 존경하다, (…한 행위를, 의견을)존중하다, 중시(重視)하다. ～i ies meriton, ies verkojn 누구의 공로를, 저술을 존중하다. ☞ konsideri, honori. ～o 존경. ～ata 존경하는. E～ata Sinjoro 존경하는 선생님(편지의 서두에 씀). ～inda 존경할만한. mal～i 경멸하다, 무시하다. mem～o 스스로 자기를 높임(존경함), 자존(自尊).",B,5.0,2.0,5.67,5.33
estingi,"{Ｂ}［他］（火や明かりを）消す; 《転》消す, 消滅させる",扑灭，熄灭,"[타] ①(불을)끄다. ②(빛을)끄다. ～i kandelon, lampon 촛불을, 등불을 끄다. ③<비유> (흥분 따위를)진정시키다, 멈추게 하다. ～i soifon 갈증을 진정시키다. ☞ sufoki, forvisxi. ④<화학> (석회를)물에 섞다. ～o, ～ado 소화(消火), (화재의)진압. ～igxi (불이)꺼지다, 소멸되다, 진압되다, (흥분이)진정되다. ☞ pasi, velki, morti, forigxi, neniigxi, forvisxigxi, elvaporigxi. ～ilo 소화기(消化器). ～atoro 소화액(消火液)분무기. ne～ebla 끌 수 없는, 꺼지지 않는. blov～i (입으로 바람을)불어서 끄다. blov～i kandelon 촛불을 불어서 끄다. fajr～a 소방(消防)의, 소방용(用)의. fajr～a tubo 소방용 튜브. fajr～isto 소방수(消防手). ☞ fajrobrigadano.",B,6.0,2.0,5.67,5.83
etaĝo,"{Ｂ}階（欧州と日米で数え方が異なる）, >>teretaĝo, >>unua etaĝo, >>dua etaĝo",楼层,"①<건축> 층(層). sep-～a domego 7층 빌딩. ②<지질> 층(層). ～igi 층(層)을 쌓다. bel～o, cxef～o 반지하층이 있는 집의 1층. inter～o 1층과 2층의 중간층. kel～o, subter～o 지하층. unua ～o, ter～o 1층. tri～a 3층짜리의. tri～a domo 3층 집.",B,7.0,2.0,5.67,6.33
etendi,"{Ｂ}［他］伸ばす; （手を伸ばして）差し出す; （金属を）延ばす; 広げる, 拡張する",伸展；铺开,"[타] ①…을 곧게 펴다, 길게 늘어뜨리다. ②(四肢를)뻗다, 펴다. ③(빨래・깃발・천막 따위를)평평하게 펴다, 전개(展開)하다. ☞ sterni. ④쇠를 가늘고 길게 펴다. ☞ dilati. ⑤<비유> 사방에 보급하다(퍼뜨리다), 유포시키다, 확장시키다. ～a 펴는, 늘리는. ～a muskolo 신근(伸筋). ～a numero (전화의)교환번호. ～o, ～ado 폄, 신장(伸張). ～ajxo 펴진 것, 연장된 것. ～ebla 펴지는, 늘일 수 있는. ～igxi 펴지다, 펼쳐지다, 늘어지다. risorto ～igxas 용수철은 펴진다. dis～i [타] 사방으로 퍼져나가게 하다, 전개시키다. el～i 길게 내밀다(펴다). bat～i [타] 때려서 펴다. tir～i [타] 끌어 당겨서 펴다.",B,7.0,2.0,5.67,6.33
eterna,"{Ｂ}永遠の, 永久の, 不朽の, 不滅の",永恒，无穷,"영원한, 끝없는. ～e, por ～e 영원히. ～igi 영원하게 하다, 불멸의 것으로 만들다. E～ulo 조물주, 여호와(하나님). ☞ Javeo, Jehovo.",B,7.0,2.0,5.67,6.33
evento,"{Ｂ}行事, 催し, イベント; （重大な）出来事, 大事件",事变,"사건, 대사건, 발생된 중요한 일(사건), 큰 행사(行事). ～oplena printempo 사건이 (행사가)많은 봄[春].",C,9.0,3.0,8.79,8.9
evidenta,"{Ｂ}明白な, 自明の",明显，显然的,"명백한, 분명한, 뚜렷한. ☞ senduba, certa, okulfrapa. ～e 명백하게. ～ajxo 명백한 일. ～igi 증명하다, 분명하게 하다.",B,7.0,2.0,5.67,6.33
