Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
frapi,"{Ｂ}［他］たたく, 打つ; たたいて音を出す; はっとさせる, 驚かす",敲打，拍打,세게 치거나 두드려 충격 주다,B,4,2,5.67,4.83
frato,"{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =fratulo",兄弟,"형제, 남자 형제",A,3,1,2.54,2.77
frazo,"{Ｂ}文, 文章; 美辞麗句; 【楽】楽句, フレーズ","句子；（空洞的）言词；【乐】乐句","문장, 【음악】악절, 프레이즈",B,9,2,5.67,7.33
fraŭlo,"{Ｂ}未婚男性, 独身男性",未婚男子,"미혼 남성, 총각",A,3,1,2.54,2.77
fremda,"{Ｂ}異国の, 他国の; 見知らぬ, 見慣れない; 無縁の, よそ事の",外国的；陌生,외국의,A,4,1,2.54,3.27
freneza,"{Ｂ}気の狂った; 気違いじみた, 無分別な; 我を忘れた",疯狂，失去理性的；荒诞,"미친, 제정신이 아닌",C,7,3,8.79,7.9
freŝa,"{Ｂ}生き生きした, 若々しい; 新鮮な, 生の; 真新しい, 最新の",新鲜，鲜嫩，新近,신선한,B,5,2,5.67,5.33
fripono,"{Ｂ}ペテン師, 悪党",流氓，骗子,"사기꾼, 악당",C,9,3,8.79,8.9
friti,{Ｂ}［他］【料】（油で）揚げる; いためる,油炸，煎,"기름에 튀기다, 볶다",C,8,3,8.79,8.4
frizi,"{Ｂ}［他］（髪を）カールする, パーマをかける",烫发,머리를 파마하다,C,8,3,8.79,8.4
fromaĝo,{Ｂ}【料】チーズ,干酪，乳酪,치즈,C,6,3,8.79,7.4
fronto,"{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線",前线；阵线；前面，正面,"정면, 앞부분",C,9,3,8.79,8.9
frosto,"{Ｂ}厳寒, 氷点下の寒気; 《転》ひどい寒け",严寒，冰冻；心寒,"혹한, 얼 정도의 추위",C,7,3,8.79,7.9
froti,"{Ｂ}［他］摩擦する, こする",摩擦,세게 문지르다,C,7,3,8.79,7.9
frukto,"{Ｂ}【植】果実, 実（み）, >>drupo, >>nukso, >>bero; くだもの; 《転》成果, 結果",果实；水果,"나무나 식물이 맺는 과일, 열매",A,3,1,2.54,2.77
frunto,"{Ｂ}額（ひたい）, 前頭部",前额,이마,C,6,3,8.79,7.4
fulmo,"{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき",闪电,번개,B,7,2,5.67,6.33
fumo,"{Ｂ}煙, 湯気; 《転》（煙のように）はかないもの",烟,연기,B,6,2,5.67,5.83
fundamento,"{Ｂ}【建】基礎, 土台; 《転》基礎, 基本",基础，地基,"기초, 토대",C,8,3,8.79,8.4
fundo,{Ｂ}底; 奥; 背景; 《転》どん底,底，深处，底部,"밑바닥, 가장 깊은 곳",B,5,2,5.67,5.33
funebro,"{Ｂ}死別の悲しみ, 哀悼; 喪, 喪服, 喪章, 喪中",哀悼；丧，服丧,죽음을 애도하는 슬픔,C,8,3,8.79,8.4
fungo,{Ｂ}【植】キノコ,真菌,"버섯, 진균",C,9,3,8.79,8.9
funkcio,"{Ｂ}職務, 役目; 機能, 作用; 【数】関数; 【情】関数",职能，职务；作用，功能；函数,기능이나 역할,B,8,2,5.67,6.83
furioza,"{Ｂ}怒り狂った, 激怒した; 荒れ狂う",暴怒，行为狂暴；猛烈,"격노한, 광포한",C,9,3,8.79,8.9
fuĝi,"{Ｂ}［自］逃げる, 逃走する, 逃亡する, 逃避する",逃避，逃走，逃难,"도망가다, 달아나다",C,9,3,8.79,8.9
fuŝi,"{Ｂ}［他］仕損じる, 台なしにする",弄糟，拙劣地做，胡乱地做,망치다,B,9,2,5.67,7.33
gaja,"{Ｂ}陽気な, 快活な, 愉快な, にぎやかな, 浮き浮きした",愉快，喜形于外,명랑하고 쾌활한,A,4,1,2.54,3.27
gajni,"{Ｂ}［他］（運や偶然によって）得る; 勝ち取る; もうける, >>akiri",赢得，取得,"이겨서 얻다, 이득을 차지하다",B,4,2,5.67,4.83
ganto,{Ｂ}手袋; 【運】（野球の）グローブ,（分指的）手套,손가락끼우는장갑,C,8,3,8.79,8.4
garantii,"{Ｂ}［他］保証する, 責任を持つ, 請合う; 保護する, 守る",担保，保证,"보증하다, 책임지다",C,8,3,8.79,8.4
gardi,"{Ｂ}［他］見張る, 番をする; 守護する, 護衛する; 監視する, 警戒する; 守る, 保存する, 保管する",守卫，看守；保管,"지키다, 보호하다",B,5,2,5.67,5.33
gaso,"{Ｂ}ガス, 燃料ガス; 【化】気体, >>solido, >>likvo; 【軍】毒ガス",气体，可燃气；胃气；毒气,"기체 연료, 가스",B,6,2,5.67,5.83
gasto,"{Ｂ}客, 来客, 訪問客; 招待客, 来賓; （ホテルなどの）客, 宿泊客",客人，顾客,"집이나 가게, 호텔 등에 오는 손님",B,6,2,5.67,5.83
gazeto,"{Ｂ}雑誌, 新聞, 定期刊行物",报纸；期刊，杂志,"신문, 잡지",A,4,1,2.54,3.27
ge-,"{Ｂ}［接頭辞］（男女を併称する）, >>〜patroj, >>〜knaboj",包括两性的,남녀 양성을 함께 가리키는 〜 접두사,A,1,1,2.54,1.77
generacio,"{Ｂ}世代, 同時代の人々; 【生】世代",代，世代，一代人,동시대의 사람들,C,9,3,8.79,8.9
genio,"{Ｂ}天才, 天分; 【神】守護神",守护神；天才，天资,천재,C,8,3,8.79,8.4
gento,"{Ｂ}（共通の祖先に由来する集団）部族, 一族; 民族, 種族, >>etno, >>nacio, >>popolo",种族，氏族，部族,공통 조상을 가진 종족이나 부족,C,9,3,8.79,8.9
genuo,"{Ｂ}【解】ひざ, ひざがしら",膝,"무릎, 무릎관절",B,5,2,5.67,5.33
geografio,{Ｂ}地理学; 地理,地理学,지리학,C,9,3,8.79,8.9
glacio,"{Ｂ}氷, 氷塊, 張りつめた氷; 《転》よそよそしい態度, 堅苦しさ","冰；《转》冷淡态度","얼음, 《전》냉담함",B,5,2,5.67,5.33
gladi,{Ｂ}［他］アイロンをかける,熨，烫,옷을 다리다,C,8,3,8.79,8.4
glaso,"{Ｂ}コップ, グラス",玻璃杯,유리잔,A,4,1,2.54,3.27
glata,"{Ｂ}なめらかな, すべすべした; 《転》平らな; 《転》人当たりのよい",平滑；平坦；流畅,"매끄러운, 평탄한",B,7,2,5.67,6.33
glavo,"{Ｂ}刀, 剣; 《転》剣（武力・暴力・権威の象徴）",刀，剑,"칼, 검",C,9,3,8.79,8.9
gliti,"{Ｂ}［自］滑る, 滑走する, つるりと滑る; 《転》忍び込む, ひそかに進行する",滑；溜冰,미끄러지다,C,6,3,8.79,7.4
globo,"{Ｂ}球体, 球; （ビリヤード・ボウリングの）球; 【機】玉, 鋼球",球；灯泡,"둥근 공 모양의 구체, 공",C,7,3,8.79,7.9
gluti,"{Ｂ}［他］飲み込む, 飲み下す; 《転》飲み込む, むさぼる",咽下，吞,삼키다,C,8,3,8.79,8.4
golfo,"{Ｂ}【地理】湾 / 【運】ゴルフ, =golfludo, >>klabo, >>pilko",海湾；高尔夫球,바다에 깊게 파고든 육지의 만；골프,C,8,3,8.79,8.4
gorĝo,"{Ｂ}のど, のど首; 【解】咽喉（いんこう）; 《転》峡谷, 山間の狭い道, 狭い湾口",喉，咽喉,"목구멍, 인후",C,7,3,8.79,7.9
gracia,"{Ｂ}優雅な, 優美な, 上品な",优美，文雅；苗条,"우아한, 품위 있는",C,7,3,8.79,7.9
grado,"{Ｂ}程度, 等級, 段階; 【単】（角度・温度などの）度; 【数】次数; 【法】親等",程度，等级；（角度/温度的）度；（数）次数；（法）亲等,"정도, 등급, 단계；（각도/온도） 도；（수학） 차수；（법） 친등",B,7,2,5.67,6.33
grajno,"{Ｂ}穀粒; （粒状の）実, 種子; （一般的に）粒; 《転》微量",谷粒，谷物（指果实）；粒状果实,"곡식 낟알, 작은 알갱이",C,8,3,8.79,8.4
gramatiko,{Ｂ}【語】文法; 文法学; 文法書,语法,문법,C,9,3,8.79,8.9
gramo,{Ｂ}【単】グラム（g）,克,그램,C,9,3,8.79,8.9
granda,"{Ｂ}大きい, 強大な, 多大の, 偉大な",大，伟大,"큰, 위대한",A,2,1,2.54,2.27
grandioza,"{Ｂ}雄大な, 堂々たる, 荘厳な",宏伟，壮观，堂皇,웅장하고 장엄한,C,9,3,8.79,8.9
graso,{Ｂ}脂肪; 油脂; 【機】グリース,脂肪,지방,B,6,2,5.67,5.83
grati,"{Ｂ}［他］ひっかく, かき削る; かく, >>skrapi",抓，抓破，抓伤；挠，搔,손톱으로 긁어 상처를 내다,C,9,3,8.79,8.9
gratuli,{Ｂ}［他］お祝いを言う,祝贺，庆贺,축하하다,B,8,2,5.67,6.83
grava,"{Ｂ}重要な, 重大な; 深刻な",重要；严重,"중요한, 중대한",A,2,1,2.54,2.27
graveda,{Ｂ}妊娠した; 《転》はらんだ,怀孕的，妊娠的；孕育着…的，充满…的,임신한,C,9,3,8.79,8.9
greno,{Ｂ}穀物,谷物，谷类；谷种,곡물,C,5,3,8.79,6.9
grimpi,{Ｂ}［自］（sur）よじ登る; （山に）登る; （つる草が）はい上がる,攀登，爬上,"기어오르다, 힘들게 오르다",C,7,3,8.79,7.9
griza,"{Ｂ}灰色の, ねずみ色の; 白髪まじりの; どんよりした, 陰気な",灰色，花白,회색의,B,5,2,5.67,5.33
grumbli,"{Ｂ}［自］ぼやく, ぶつぶつ不平を言う, 愚痴をこぼす",嘟哝，低声抱怨,작게투덜거리며불평하다,C,9,3,8.79,8.9
grundo,"{Ｂ}土壌, 土地; 地盤, 地面, 土台; 水底; 《転》下地",土，土壤；地基,"땅, 토양",C,7,3,8.79,7.9
gruo,"{Ｂ}【鳥】ツル / 【機】クレーン, 起重機",鹤属鸟类；起重机，吊车,두루미과 새；기중기（크레인）,C,9,3,8.79,8.9
grupo,"{Ｂ}グループ, 小集団, 群れ",一群，一批；一丛；组,"무리, 집단, 떼",A,5,1,2.54,3.77
gumo,"{Ｂ}【植】ゴム, ゴム液; 弾性ゴム, =kaŭĉuko; 消しゴム, =frot〜",树胶，树脂；橡胶；橡皮（橡皮擦）,"고무, 고무질；지우개",B,9,2,5.67,7.33
gusto,"{Ｂ}味, 風味; 味覚; 趣味, 好み",味；爱好；鉴赏力,"맛, 취미, 기호",B,7,2,5.67,6.33
guto,"{Ｂ}しずく, 一滴; 《転》微量",滴,"물방울, 한 방울",B,6,2,5.67,5.83
gvidi,"{Ｂ}［他］案内する, 導く; 指導する, 手引きする",领路；引导,길을 안내하다,A,6,1,2.54,4.27
haki,"{Ｂ}［他］（斧で）切る, たたき切る; （話などを）切れ切れにする; 傷める",砍,도끼로 찍어 베다,C,7,3,8.79,7.9
halo,"{Ｂ}ホール, 大広間; 市場, （屋根と柱だけの）市場の建物",敞棚，大厅,"대형 홀, 넓은 실내 공간",C,9,3,8.79,8.9
halti,"{Ｂ}［自］止まる, 立ち止まる, 停止する",停止,"멈추다, 서다",B,3,2,5.67,4.33
harmonio,"{Ｂ}調和, ハーモニー; 【楽】和声",谐音，和音；和谐，融洽,"화음, 조화",C,9,3,8.79,8.9
haro,"{Ｂ}毛（一本）, 髪の毛（一本）",毛，发,"털, 머리카락 한 올",A,3,1,2.54,2.77
haveno,"{Ｂ}港, 港湾; 《転》避難所, 休息所",港口,항구,B,7,2,5.67,6.33
havi,"{Ｂ}［他］持っている, ～がある; 所有する",有,"가지다, 소유하다",A,2,1,2.54,2.27
hazardo,{Ｂ}偶然; 運,机遇，巧合；偶然，侥幸,우연한 일,C,9,3,8.79,8.9
haŭto,"{Ｂ}（動物の）皮, 表皮; （人間の）皮膚, 肌; （果物の）皮; 《転》皮膜状のもの",皮，皮肤,"사람이나 동물의 피부, 살갗",B,6,2,5.67,5.83
hejmo,"{Ｂ}家庭, 自宅, わが家; （自宅に代わる）収容施設, ホーム; 《転》=hejmloko",家,"집, 가정",A,3,1,2.54,2.77
hejti,{Ｂ}［他］（炉などに）火をたく; （部屋を）暖房する,给…生火，烧火,방이나 건물을 덥게 하다,B,6,2,5.67,5.83
hela,"{Ｂ}明るい, 晴れやかな, >>luma, >>brila; （色が）明るい, 薄い, >>pala; （音が）澄んだ",明亮，晴朗；浅，淡,"밝은, 환한",B,4,2,5.67,4.83
helikoptero,"{Ｂ}【空】ヘリコプター, >>aŭtogiro",直升飞机,헬리콥터,C,9,3,8.79,8.9
helpi,"{Ｂ}［他］手助けする, 助力する, 手伝う, 介助する; 援助する; 役立つ",帮助,"돕다, 도와주다",A,2,1,2.54,2.27
hepato,{Ｂ}【解】肝臓,肝,간,C,9,3,8.79,8.9
herbo,"{Ｂ}草; 牧草, 芝草; 【植】草本",草,"풀, 목초",B,5,2,5.67,5.33
heredi,{Ｂ}［他］相続する; 《転》受け継ぐ; 遺伝として受け継ぐ,继承，承袭；受遗传,재산이나 권리를 상속받다,C,8,3,8.79,8.4
heroldo,"{Ｂ}布告者, 使者, 先触れ; 【史】（王の）伝令官",传令官；传播者,"전령관, 포고자",C,9,3,8.79,8.9
heroo,"{Ｂ}英雄, 勇士; （物語の）主人公; 【神】（ギリシャ神話の）半神, 神人",英雄；主人公,"영웅, 이야기의 주인공",C,8,3,8.79,8.4
heziti,"{Ｂ}［自］ためらう, 躊躇（ちゅうちょ）する",踌躇，犹豫，迟疑,주저하거나 망설이다,B,7,2,5.67,6.33
hieraŭ,"{Ｂ}［副］きのう, 昨日",昨天,어제,A,1,1,2.54,1.77
higieno,{Ｂ}衛生学; 衛生,卫生，卫生学,"위생, 위생학",C,9,3,8.79,8.9
himno,{Ｂ}【宗】賛美歌; 賛歌,圣歌，赞美诗,"찬송가, 성가",C,9,3,8.79,8.9
hirundo,{Ｂ}【鳥】ツバメ（属）; =dom〜,燕属鸟类,제비,C,7,3,8.79,7.9
historio,"{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話",历史；故事,"역사, 지나온 과정",A,4,1,2.54,3.27
hodiaŭ,{Ｂ}［副］きょう; 今日（こんにち）では,今天,오늘,A,1,1,2.54,1.77
hoko,"{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝ〜; 【運】（ボクシングの）フック",钩子，鱼钩,갈고리,C,8,3,8.79,8.4
homo,"{Ｂ}人, 人間; 【動】ヒト",人,"사람, 인간",A,2,1,2.54,2.27
honesta,"{Ｂ}正直な, 誠実な, 実直な; 公正な, 正当な, まともな, いつわりのない",正直，诚实,정직하고 성실한,B,6,2,5.67,5.83
honoro,"{Ｂ}名誉, 面目; 栄誉, 光栄; 敬意, 尊敬",尊敬，荣誉,"명예, 영예",B,6,2,5.67,5.83
honti,{Ｂ}［自］恥じる; 恥ずかしがる（pri/pro〜を）,感到羞耻，害羞，羞愧,"부끄러워하다, 수치심을 느끼다",B,6,2,5.67,5.83
hordeo,{Ｂ}【植】オオムギ（属）,大麦属植物；大麦粒,보리,C,9,3,8.79,8.9
horizonto,"{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位",地平线，水平线；眼界，见识,"지평선, 수평선",C,9,3,8.79,8.9
horloĝo,"{Ｂ}時計; 柱時計, 大時計",钟，表，计时器,시계,B,5,2,5.67,5.33
horo,"{Ｂ}一時間; 時間, 時刻",小时；时刻，时间,"한 시간, 시각",A,3,1,2.54,2.77
hospitalo,"{Ｂ}病院, =malsanulejo; 【史】施療院",医院,병원,B,8,2,5.67,6.83
hotelo,"{Ｂ}ホテル, 旅館",旅馆，饭店,"호텔, 여관",B,7,2,5.67,6.33
humana,"{Ｂ}人間的な, 人情味のある, 人道的な",人道，仁爱，仁慈,인간적이고 인도적인,C,9,3,8.79,8.9
humida,"{Ｂ}湿った, 湿気のある, じめじめした, =malseketa",潮湿,"습한, 축축한",C,8,3,8.79,8.4
humila,"{Ｂ}謙虚な, 控えめな; 卑下した",自卑，谦逊,"겸손한, 겸허한",B,7,2,5.67,6.33
humoro,"{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモア=humuroとは別語）",性情，情绪，气质,"사람의 기분이나 감정 상태, 성격적 기질",B,7,2,5.67,6.33
hundo,{Ｂ}【動】イヌ（犬）,狗,개,A,4,1,2.54,3.27
ia,"{Ｂ}［形］ある種の, なんらかの（種類・性質）",某种的，某类的,어떤 종류의,A,1,1,2.54,1.77
ial,"{Ｂ}［副］ある理由で, なぜか",因为某种缘故,"어떤 이유로, 왜",B,6,2,5.67,5.83
iam,"{Ｂ}［副］ある時, いつか（過去・未来）",某时，任何时候；曾经,"어느 때엔가, 언젠가",A,1,1,2.54,1.77
idealo,{Ｂ}理想,理想，崇高目标,"이상, 이상적",B,8,2,5.67,6.83
identa,"{Ｂ}（kun）同一の; 同様の, そっくり同じの",完全一样，同样，没有差异,"완전히 동일한, 똑같은",C,8,3,8.79,8.4
ideo,"{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想",观念，主意，理想,생각,A,4,1,2.54,3.27
ie,"{Ｂ}［副］どこかで, あるところに",某处，在某处,"어딘가에서, 어떤 곳에",A,1,1,2.54,1.77
iel,{Ｂ}［副］どうにかして,用某种方法,어떻게든,B,6,2,5.67,5.83
ies,"{Ｂ}［形］だれかの, ある人の",某人的,누군가의,B,6,2,5.67,5.83
ignori,"{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>neglekti",不理，无视，漠视,일부러 무시하다,C,9,3,8.79,8.9
ili,"{Ｂ}［代］（三人称複数）彼ら, 彼女ら, それら",他（她、它）们,"삼인칭 복수, 그들",A,1,1,2.54,1.77
ilustri,"{Ｂ}［他］挿絵を入れる, 図解する; （例をあげて）説明する",插图，以图装饰,책 등에 그림을 넣어 설명하다,C,8,3,8.79,8.4
imagi,"{Ｂ}［他］想像する, 思い描く",想象，设想,상상하다,B,6,2,5.67,5.83
imiti,"{Ｂ}［他］まねる, 模倣する; 見習う; 模造する",摹仿，仿效，仿制,"흉내 내다, 모방하다",B,6,2,5.67,5.83
imperio,{Ｂ}帝国,帝国,제국,C,8,3,8.79,8.4
impliki,"{Ｂ}［他］もつれさせる, 絡めとる; 込み入らせる, 混乱させる; （事件に）巻き込む",缠住，使卷入，使陷入；制造困难,"복잡한 일에 얽히게 하다, 연루시키다",C,9,3,8.79,8.9
importi,"{Ｂ}［他］輸入する, >>eksporti",输入，进口,수입하다,C,8,3,8.79,8.4
imposto,"{Ｂ}税, 税金",税,세금,C,8,3,8.79,8.4
impreso,"{Ｂ}印象, 感銘; 感じ, 心地; 【写】感光",印象；感光,"인상, 감명",C,8,3,8.79,8.4
imuna,{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある,免疫的；免除某项法律责任的；抗…的，防…的,질병에 대한 면역이 있는,C,9,3,8.79,8.9
inciti,"{Ｂ}［他］（刺激して）怒らせる, いらだたせる; 極度に興奮させる",激怒，逗弄，惹,"화나게 하다, 자극해 흥분시키다",C,9,3,8.79,8.9
indiferenta,"{Ｂ}どうでもいい, 重要でない; 無関心な, 平然とした",引不起兴趣的；冷漠,무관심하고 아무래도 좋은,C,8,3,8.79,8.4
indigni,"{Ｂ}［自］（不正や卑劣な行為に対して）憤慨する, 憤る",愤慨，愤怒,부정·비열함에 분개하다,C,9,3,8.79,8.9
indiki,"{Ｂ}［他］指し示す, 示す, 表す",指出，指示，表示,"가리키다, 나타내다",C,9,3,8.79,8.9
individuo,"{Ｂ}個人, 個; 【生】個体",个体，个人,개인,C,9,3,8.79,8.9
indulgi,"{Ｂ}［他］容赦する, 大目に見る; 寛大に扱う, いたわる; 助命する",宽恕，纵容；不得罪，体谅,"관대하게 용서하다, 너그럽게 봐주다",C,9,3,8.79,8.9
industrio,"{Ｂ}産業, 工業",工业，产业,산업,B,6,2,5.67,5.83
infano,"{Ｂ}（大人に対して）子供, 児童, 幼児; （親に対して）子",幼儿，儿童；孩子,"어린아이, 아동",A,2,1,2.54,2.27
infekti,"{Ｂ}［他］（人に）感染させる, 病気をうつす, >>kontaĝi; 《転》感化する",传染；感染,"병을 옮기다, 감염시키다",C,9,3,8.79,8.9
infero,"{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo",地狱,"죽은 자가 가는 지하 세계, 지옥",C,9,3,8.79,8.9
influi,"{Ｂ}［他］影響を与える, 感化する, 左右する",影响,영향을 주다,B,8,2,5.67,6.83
informi,"{Ｂ}［他］通報する, 知らせる",通知，告诉，报告,소식이나 정보를 알리다,B,6,2,5.67,5.83
iniciati,"{Ｂ}［他］（新しいことを）始める, 発起する, 創始する",创始，发起,새로운 일을 시작하고 창시하다,C,9,3,8.79,8.9
injekti,{Ｂ}［他］【医】注射する; 【機】注入する,注射,주사하다,C,9,3,8.79,8.9
inklina,"{Ｂ}傾向のある, 心の傾いた",倾向于…，有…倾向,어떤 쪽으로 기우는 성향,C,8,3,8.79,8.4
inko,"{Ｂ}インク, インキ",墨水，墨汁；油墨,잉크,B,5,2,5.67,5.33
insekto,{Ｂ}【虫】昆虫,昆虫,곤충,B,5,2,5.67,5.33
insigno,"{Ｂ}記章, バッジ; （～oj）（都市・家などの）紋章",徽章,휘장,C,9,3,8.79,8.9
insisti,"{Ｂ}［自］（自分の意見に）固執する, 言い張る, 力説する, >>persisti",坚持（意见或要求），主张,자신의 주장이나 요구를 굳게 고집하다,C,8,3,8.79,8.4
inspiri,"{Ｂ}［他］（思想・感情を）吹き込む, 鼓吹する, 抱かせる; 霊感を与える",引起，激起，唤起；使获得灵感,영감이나 감정을 불러일으키다,C,9,3,8.79,8.9
instali,"{Ｂ}［他］（物を）据え付ける, 備え付ける; （場所を）設備を整える; （人を）就任させる, 任命する; 【情】インストールする",设置，安装，建立,기계나 설비를 제자리에 설치하다,C,8,3,8.79,8.4
instigi,"{Ｂ}［他］励ます, 勧める; 駆りたてる, そそのかす",激励，鼓励，煽动，怂恿,남을 부추겨 행동하게 하다,C,8,3,8.79,8.4
instinkto,{Ｂ}本能; 直観,本能，生性，天性,본능,C,7,3,8.79,7.9
instrui,"{Ｂ}［他］教える, 教育する; （出来事が）教示する, 教訓を与える",教，教导,지식이나 기술을 남에게 가르치다,A,5,1,2.54,3.77
instrumento,"{Ｂ}器具, 器械, 道具; 楽器; 手段; 【法】法律文書",用具，仪器,"작업이나 연주에 쓰는 도구, 기구",C,8,3,8.79,8.4
insulo,{Ｂ}島; 《転》離れ島,岛,섬,B,6,2,5.67,5.83
insulti,"{Ｂ}［他］（言葉で）侮辱する, ののしる, 悪口を言う",骂,말로 모욕하거나 욕하다,C,8,3,8.79,8.4
intelekto,"{Ｂ}知性, 知力, 理解力",智力，才智，悟力,"지적 능력, 이해력",C,8,3,8.79,8.4
inteligenta,"{Ｂ}聡明な, 頭のよい, 利口な",理解力强，聪明,총명하고 머리가 좋은,C,8,3,8.79,8.4
intenci,"{Ｂ}［他］意図する, もくろむ, 企てる, ～するつもりである",想，打算，企图,어떤 일을 하려고 마음먹다,B,5,2,5.67,5.33
inter,"{Ｂ}［前］～の間に, ～の間で; ～の中にまじって",在…之间,둘이나 여럿 사이의 관계,A,1,1,2.54,1.77
interesi,"{Ｂ}［他］興味をひく, 関心を持たせる; 関係させる, 利害関係がある",使发生兴趣,"흥미를 일으키게 하다, 관심을 갖게 하다",A,3,1,2.54,2.77
interna,"{Ｂ}内部の, 内側の; 国内の; 内心の, 精神的な",内部，内在,"안의, 내부의",B,4,2,5.67,4.83
interpreti,"{Ｂ}［他］通訳する; 解釈する, 解明する; （演奏・演劇で）自己の解釈に基づいて演じる",口译；说明，解释,해석하다,C,9,3,8.79,8.9
intesto,"{Ｂ}【解】腸; >>dika 〜, >>maldika 〜",肠,"창자, 장(腸)",C,9,3,8.79,8.9
intima,"{Ｂ}親密な, 親しい, 内輪の; 私的な, 内に秘めた, 心の中の",内心，内在；亲密，亲切,매우 친밀하고 가까운,C,9,3,8.79,8.9
inundi,"{Ｂ}［他］氾濫する, 水浸しにする; 《転》あふれる",泛滥，淹没,물이 넘쳐 땅이나 건물을 잠기게 하다,C,9,3,8.79,8.9
inventi,"{Ｂ}［他］発明する, 考案する, >>elpensi",发明,발명하다,C,9,3,8.79,8.9
inviti,"{Ｂ}［他］招待する, 招く; 勧誘する",邀请,"초대하다, 부르다",A,5,1,2.54,3.77
inĝeniero,"{Ｂ}技師, 技術者",工程师，技师,기술전문가,C,8,3,8.79,8.4
io,"{Ｂ}［代］ある物, ある事; 何か",某物，某事,"어떤 것, 무엇",A,1,1,2.54,1.77
iom,"{Ｂ}［副］いくらか, 少し",一些，一点儿,"조금, 약간",A,1,1,2.54,1.77
iri,"{Ｂ}［自］行く, 行き着く, 向かう; （物事が）運ぶ; （機械が）動く",去，走,"가다, 이동하다",A,2,1,2.54,2.27
ironio,"{Ｂ}皮肉, 当てこすり; アイロニー, 反語",反语；用反语讽刺，嘲弄,빈정거리며 비꼬는 표현,C,9,3,8.79,8.9
iu,"{Ｂ}［形］ある, どれかの / {Ｂ}［代］ある人, どれか",某人，某个,"어떤 사람, 누군가",A,1,1,2.54,1.77
izoli,"{Ｂ}［他］孤立させる, 切り離す, 隔離する; 【電】絶縁する; 【化】単離する",隔离，使孤立；使绝缘；隔绝,"떼어놓다, 격리·고립시키다",C,9,3,8.79,8.9
ja,"{Ｂ}［副］実に, まったく, まさに",确实；诚然,정말그렇다,A,1,1,2.54,1.77
jako,"{Ｂ}【服】背広, （腰丈までの）ジャケット; 上着",夹克，男式短上衣,"양복 상의, 짧은 재킷",B,6,2,5.67,5.83
jam,"{Ｂ}［副］既に, もはや",已经,"이미, 벌써",A,1,1,2.54,1.77
januaro,{Ｂ}１月,一月,1월,A,5,1,2.54,3.77
jaro,"{Ｂ}年, 一年; 年度",年,"한 해, 1년",A,2,1,2.54,2.27
je,{Ｂ}［前］（時刻を示す場合や，他に適当な前置詞がない場合に用いる）,通用介词,"통용 전치사, 특히 시각 표현에 씀",A,1,1,2.54,1.77
jen,"{Ｂ}［副］（相手の注意を引いて）そらここに, ほらそこに",（用以引起注意）[〜…〜…]一会儿…，一会儿…,상대의 시선을 끌 때 쓰는 감탄사,A,1,1,2.54,1.77
jes,"{Ｂ}［副］はい, そうです",是，对,"예, 그렇다",A,1,1,2.54,1.77
ju,"{Ｂ}［副］（〜 pli）～すればするほど, >>des",越,"…하면 할수록, 더 〜할수록",B,8,2,5.67,6.83
jubileo,"{Ｂ}（５０周年などの）記念祭; 【カ】聖年, 大赦",五十年节；一百、五十或二十五周年纪念,"25,50,100년 등의 기념축제",C,9,3,8.79,8.9
julio,{Ｂ}７月,七月,7월,A,5,1,2.54,3.77
juna,"{Ｂ}若い, 年の若い, 年少の, 幼い",年轻,"나이가 적은, 젊은",A,2,1,2.54,2.27
junio,{Ｂ}６月,六月,6월,A,5,1,2.54,3.77
jupo,{Ｂ}【服】スカート,裙,치마,B,7,2,5.67,6.33
juro,"{Ｂ}【法】法, 法律",法，法规，法律；法学,"법, 법률",C,8,3,8.79,8.4
justa,"{Ｂ}公正な, 正義の; 正当な, 合法的な",公正，公平，正直,공정한,B,4,2,5.67,4.83
juvelo,"{Ｂ}（宝石貴金属の）装身具, アクセサリー, 宝飾品; 《転》貴重品, 至宝",珍宝，首饰,"보석으로 된 장신구, 귀중한 장식물",C,8,3,8.79,8.4
juĝi,"{Ｂ}［他］裁判する, 裁く; 判断する, 判定する; 審判する",审判；判断，评价,재판하거나 옳고 그름을 판단하다,B,5,2,5.67,5.33
kabano,"{Ｂ}小屋, 掘立て小屋, あばら屋",简陋小屋，茅屋，草棚,허름한 오두막집,C,9,3,8.79,8.9
