"English","Русский язык","Esperanto"
"We have just received your fax.","Мы только что получили ваш факс.","Ni ĵus ricevis vian fakson"
"Please send us more detailed information.","Пожалуйста, пришлите нам более детальную информацию.","Bonvolu sendi al ni pli detalan informon"
"Could we make it a bit earlier?","Не могли бы мы сделать это немного пораньше?","Ĉu ni povus fari ĝin iom pli frue?"
"Would it be possible to set another date?","Возможно ли договориться на другую дату?","Ĉu estus eble aranĝi alian daton?"
"We accept your terms of payment.","Мы принимаем ваши условия оплаты.","Ni akceptas viajn kondiĉojn de pago"
"Please send your payment promptly.","Пожалуйста, срочно перечислите свою оплату.","Bonvolu tuj sendi vian pagon"
"We look forward to your confirmation.","Мы ждём вашего подтверждения.","Ni atendas vian konfirmon"
"We hereby confirm your order.","Данным письмом мы подтверждаем ваш заказ.","Per ĉi tio ni konfirmas vian mendon"
"Please return a signed copy of the contract.","Пожалуйста, верните подписанную копию контракта.","Bonvolu resendi subskribitan kopion de la kontrakto"
"I would like an appointment with Mr Wang, please.","Я бы хотел встретиться с господином Вэнгом, пожалуйста.","Mi ŝatus havi rendevuon kun sinjoro Wang, mi petas"
"I'm afraid I have to cancel our appointment.","Боюсь, я вынуждена отменить нашу встречу.","Bedaŭrinde mi devas nuligi nian rendevuon"
"I wonder whether we can postpone our meeting?","Я хочу знать, можем ли мы отложить нашу встречу?","Mi scivolas, ĉu ni povas prokrasti nian kunvenon?"
"I am forced to change the date of our meeting.","Я вынуждена изменить дату нашей встречи.","Mi estas devigata ŝanĝi la daton de nia renkontiĝo"
"Your company was highly recommended by a friend.","Вашу компанию настоятельно рекомендовал один друг.","Amiko varme rekomendis vian kompanion"
"We are pleased to place an order with your company.","Мы рады разместить заказ в вашей компании.","Ni ĝojas fari mendon ĉe via kompanio"
"Your order will be processed as quickly as possible.","Ваш заказ будет обработан в ближайшее время.","Via mendo estos traktita kiel eble plej rapide"
"Could you please confirm the dispatch date?","Не могли бы вы, пожалуйста, подтвердить дату отправки?","Ĉu vi povus konfirmi la daton de ekspedo?"
"Your goods will be dispatched within two weeks.","Ваш товар будет отправлен в течение двух недель.","Via varo estos sendita ene de du semajnoj"
"When are we going to negotiate the price?","Когда вы собираетесь обговорить цену?","Kiam ni negocios pri la prezo?"
"It is our company policy to invoice only in euros.","Согласно политике нашей компании, мы выставляем счета только в евро.","Laŭ la politiko de nia kompanio, ni fakturas nur en eŭroj"
"We have not yet received payment for this month.","Мы ещё не получили плату за этот месяц.","Ni ankoraŭ ne ricevis pagon por ĉi tiu monato"
"Have you got a CV form?","У вас есть образец резюме?","Ĉu vi havas modelon de vivresumo?"
"Did you go to university?","Вы учились в университете?","Ĉu vi studis en universitato?"
"What did you study?","Что вы изучали?","Kion vi studis?"
"I studied maths.","Я изучал математику.","Mi studis matematikon"
"What's the salary?","Какая зарплата?","Kia estas la salajro?"
"900 dollars a month.","900 долларов в месяц.","Naŭcent dolaroj monate"
"Where did you go to university?","Где вы учились в университете?","Kie vi studis en universitato?"
"I went to Cambridge.","Я училась в Кембридже.","Mi studis en Kembriĝo"
"I have never gone to university.","Я никогда не училась в университете.","Mi neniam studis en universitato"
"I studied politics.","Я изучал политологию.","Mi studis politikon"
"What kind of work is it?","Что это за работа?","Kia laboro ĝi estas?"
"What conditions do you offer?","Какие условия вы предлагаете?","Kiajn kondiĉojn vi proponas?"
"This is the job description.","Это должностная инструкция.","Ĉi tio estas la laborpostena priskribo"
"Who would I report to?","Перед кем я должна буду отчитываться?","Al kiu mi devus raporti?"
"Is there a company car?","Есть служебная машина?","Ĉu estas kompania aŭto?"
"Is there a pension scheme?","Есть пенсионная программа?","Ĉu ekzistas pensia programo?"
"I'd like to take the job.","Я бы хотела получить эту работу.","Mi ŝatus akcepti tiun laboron"
"Are you computer-literate?","Вы обладаете компьютерной грамотностью?","Ĉu vi estas komputile klera?"
"When can you start?","Когда вы можете приступить к работе?","Kiam vi povas komenci labori?"
"What education have you got?","Какое у вас образование?","Kian edukon vi havas?"
"What qualifications have you got?","Какой квалификацией вы обладаете?","Kiujn kvalifikojn vi havas?"
"Have you got any experience?","У вас есть опыт работы?","Ĉu vi havas laborsperton?"
"Have you got a valid driving licence?","У вас есть действующие водительские права?","Ĉu vi havas validan stirpermesilon?"
"What is your career objective?","Какова ваша карьерная цель?","Kia estas via kariera celo?"
"Do you need a work permit?","Вам нужно разрешение на работу?","Ĉu vi bezonas laborpermesilon?"
"We'll need to take up references.","Нам потребуется получить рекомендации.","Ni devos akiri rekomendojn"
"We'd like to offer you the job.","Мы бы хотели предложить вам эту работу.","Ni ŝatus proponi al vi ĉi tiun laboron"
"This is your employment contract.","Это ваш трудовой договор.","Ĉi tio estas via laborokontrakto"
"There's a three month trial period.","Испытательный срок - три месяца.","Estas trimonata provperiodo"
"I would like to apply for this job.","Я бы хотел откликнуться на эту вакансию.","Mi ŝatus kandidatiĝi por ĉi tiu laborposteno"
"I work quietly and efficiently.","Я работаю тихо и эффективно.","Mi laboras silente kaj efike"
"I am an experienced user of Excel.","Я опытный пользователь Excel.","Mi estas sperta uzanto de Excel"
"Will I have to work shifts?","Должна ли я буду работать посменно?","Ĉu mi devos labori laŭvice?"
"What are the working hours?","Какие у вас часы работы?","Kiuj estas viaj laborhoroj?"
"Is there a staff restaurant?","Есть ли столовая для сотрудников?","Ĉu estas manĝejo por la personaro?"
"How much will I earn?","Сколько я буду зарабатывать?","Kiom mi gajnos?"
"10 pounds an hour.","10 фунтов в час.","10 pundoj hore"
"When do you want me to start?","Когда вы хотите, чтобы я начала?","Kiam vi volas, ke mi komencu?"
"I saw your advertisement in the newspaper.","Я увидел ваше объявление в газете.","Mi vidis vian anoncon en la gazeto"
"I would like to get hired by your company.","Я бы хотела быть принятой в вашу компанию.","Mi ŝatus esti dungita de via kompanio"
"Could I have an application form?","Я могу получить анкету?","Ĉu mi povus ricevi aliĝilon?"
"I wish to apply for the post of office manager.","Я желаю претендовать на позицию руководителя отдела.","Mi deziras kandidatiĝi por la posteno de oficejestro"
"I'm very interested in this position.","Я очень заинтересован в этой вакансии.","Mi tre interesiĝas pri ĉi tiu posteno"
"Is this a temporary or permanent position?","Это временная или постоянная должность?","Ĉu tio estas provizora aŭ konstanta posteno?"
"Is there free medical insurance?","Есть ли бесплатная медицинская страховка?","Ĉu ekzistas senpaga medicina asekuro?"
"Will I get paid for extra work?","Мне будут платить за сверхурочную работу?","Ĉu mi ricevos pagon por ekstra laboro?"
"Will I have to work on Saturdays?","Мне придётся работать по субботам?","Ĉu mi devos labori sabate?"
"Will I be paid weekly or monthly?","Мне будут платить еженедельно или ежемесячно?","Ĉu mi estos pagata ĉiusemajne aŭ ĉiumonate?"
"Will I get travelling expenses?","Будут ли покрываться командировочные расходы?","Ĉu mi ricevos vojaĝkostojn?"
"How many weeks' holiday a year are there?","Сколько недель отпуска предоставляется в год?","Kiom da semajnoj da ferio estas jare?"
"I've got 15 years experience of working as a nurse.","У меня 15 лет опыта работы медсестрой.","Mi havas 15-jaran sperton laborante kiel flegistino"
"My area of expertise is information technology.","Я специализируюсь на информационных технологиях.","Mia fako estas informatiko"
"I'm very grateful for your offer.","Я очень благодарен за ваше предложение.","Mi estas tre dankema pro via propono"
"I see this position as a welcome challenge.","Я рассматриваю эту вакансию как долгожданную возможность себя проявить.","Mi vidas ĉi tiun postenon kiel bonvenan defion"
"I would appreciate the chance to broaden my knowledge.","Я была бы признательна за возможность расширить свои знания.","Mi estus dankema pro la ebleco vastigi mian scion"
"We'd like to invite you for an interview.","Мы бы хотели пригласить вас на собеседование.","Ni ŝatus inviti vin al intervjuo"
"We need someone with qualifications.","Нам нужен кто-нибудь с квалификацией.","Ni bezonas iun kun kvalifikoj"
"My qualifications match this position's requirements.","Моя квалификация соответствует требованиям этой вакансии.","Miaj kvalifikoj respondas al la postuloj de ĉi tiu posteno"
"What are your strengths and weaknesses?","Каковы ваши сильные и слабые стороны?","Kiuj estas viaj fortaĵoj kaj malfortaĵoj?"
"My strengths are loyalty and punctuality.","Мои сильные стороны - это преданность и пунктуальность.","Miaj fortaj flankoj estas lojaleco kaj akurateco"
"What are your salary expectations?","Каковы ваши зарплатные ожидания?","Kiuj estas viaj salajraj atendoj?"
"How much were you paid in your last job?","Сколько вам платили на предыдущей работе?","Kiom oni pagis al vi en via antaŭa laboro?"
"I've got no work experience in this field.","У меня нет опыта работы в этой области.","Mi ne havas laborsperton en ĉi tiu kampo"
"He's a hard-working person.","Он трудолюбивый человек.","Li estas laborema homo"
"She handles responsibility well.","Она хорошо справляется с обязанностями.","Ŝi bone traktas respondecon"
"He's got a wide range of skills.","Круг его умений очень широк.","Li havas vastan gamon de kapabloj"
"He accepts constructive criticism.","Он принимает конструктивную критику.","Li akceptas konstruktivan kritikon"
"He is a creative problem solver.","Он умеет творчески подходить к решению проблем.","Li estas kreema problemsolvanto"
"She always finishes her work on time.","Она всегда заканчивает работу вовремя.","Ŝi ĉiam finas sian laboron ĝustatempe"
"It's a great pleasure to work with her.","Работать с ней - огромное удовольствие.","Estas granda plezuro labori kun ŝi"
"I cannot recommend him for your company.","Я не могу рекомендовать его вашей компании.","Mi ne povas rekomendi lin al via kompanio"
"Would you, please, write a letter of recommendation for me?","Пожалуйста, напишите мне рекомендательное письмо.","Ĉu vi bonvolus skribi rekomendleteron por mi?"
"I was his supervisor for about two years.","Я был его руководителем около двух лет.","Mi estis lia gvidanto dum ĉirkaŭ du jaroj"
"He worked for me on various projects.","Он работал на меня в различных проектах.","Li laboris por mi pri diversaj projektoj"
"She has got excellent communication skills.","У неё отличные коммуникативные навыки.","Ŝi havas bonegajn komunikajn kapablojn"
"I give her my highest recommendation.","Я даю ей наилучшие рекомендации.","Mi donas al ŝi mian plej varman rekomendon"
"Please call me if you have any questions.","Пожалуйста, позвоните мне, если у вас будут какие-нибудь вопросы.","Bonvolu telefoni al mi, se vi havos demandojn"
"She consistently produces high quality work.","Она неизменно демонстрирует высокое качество работы.","Ŝi konstante produktas altkvalitan laboron"
"She will be a great addition to your programme.","Она станет отличным дополнением вашей программы.","Ŝi estos bonega aldono al via programo"
"Her greatest talent is writing stories.","Её главный талант - писать рассказы.","Ŝia plej granda talento estas verki rakontojn"
"He brought outstanding contribution to my project.","Он внёс выдающийся вклад в мой проект.","Li faris elstaran kontribuon al mia projekto"
"He is a reliable person with good sense of humour.","Он надёжный человек с хорошим чувством юмора.","Li estas fidinda persono kun bona humorsento"
"I hope this information will be helpful to you.","Надеюсь, эта информация будет вам полезной.","Mi esperas, ke ĉi tiu informo estos utila por vi"
"I'm lost.","Я потерялась.","Mi perdiĝis"
"Where's this address?","Где этот адрес?","Kie estas ĉi tiu adreso?"
"Is it far from here?","Это далеко отсюда?","Ĉu ĝi estas malproksime de ĉi tie?"
"This way?","Сюда?","Ĉi tien?"
"How do I get to the town?","Как мне добраться до города?","Kiel mi povas atingi la urbon?"
"Which way is it to the city centre?","В какую сторону идти к центру города?","Kiudirekte estas la urbocentro?"
"Where is the church?","Где находится церковь?","Kie estas la preĝejo?"
"Where is the nearest pharmacy?","Где находится ближайшая аптека?","Kie estas la plej proksima apoteko?"
"Should I go straight?","Мне следует идти прямо?","Ĉu mi iru rekte?"
"Is it on this side?","Оно на этой стороне?","Ĉu ĝi estas ĉi-flanke?"
"Is it too far to walk?","Туда слишком далеко идти пешком?","Ĉu estas tro malproksime por iri piede?"
"What shortcut can I take?","Каким коротким путём я могу пройти?","Kiun mallongan vojon mi povas preni?"
"Please draw a map here.","Пожалуйста, нарисуйте здесь карту.","Bonvolu desegni mapon ĉi tie"
"Where's La Rambla street?","Где находится улица Ла Рамбла?","Kie troviĝas la strato La Rambla?"
"Is the hotel far from here?","Отель далеко отсюда?","Ĉu la hotelo estas malproksime de ĉi tie?"
"Is there a bank near here?","Здесь неподалёку есть банк?","Ĉu estas banko proksime de ĉi tie?"
"Is there a supermarket near here?","Здесь есть неподалёку супермаркет?","Ĉu estas superbazaro proksime de ĉi tie?"
"Is the railway station far away?","Железнодорожный вокзал далеко?","Ĉu la fervojstacio estas malproksime?"
"Where's the underground station?","Где станция метро?","Kie estas la metrostacio?"
"What landmarks are on the way?","Какие достопримечательности встречаются по пути?","Kiuj vidindaĵoj troviĝas survoje?"
"What's the name of this street?","Как называется эта улица?","Kiel nomiĝas ĉi tiu strato?"
"How far is it to the beach from here?","Как далеко отсюда до пляжа?","Kiom malproksime de ĉi tie estas la plaĝo?"
"How can I get to the seashore?","Как мне добраться до побережья?","Kiel mi povas atingi la marbordon?"
"Will you show me the way to the post office?","Вы покажете мне дорогу к почте?","Ĉu vi montros al mi la vojon al la poŝtoficejo?"
"Could you show me on the map?","Вы можете показать мне на карте?","Ĉu vi povus montri al mi sur la mapo?"
"Is it close enough to walk?","Это достаточно близко, чтобы дойти пешком?","Ĉu ĝi estas sufiĉe proksime por piediri?"
"What direction should I go in?","В каком направлении мне следует пойти?","En kiun direkton mi iru?"
"Write the address down, please.","Запишите адрес, пожалуйста.","Bonvolu noti la adreson"
"I'm looking for this address.","Я ищу этот адрес.","Mi serĉas ĉi tiun adreson"
"I wonder if someone could tell me the direction.","Хочу узнать, не может ли кто-нибудь подсказать мне направление.","Mi scivolas, ĉu iu povus diri al mi la direkton"
"How do I get to the railway station?","Как мне добраться до железнодорожного вокзала?","Kiel mi povas atingi la fervojan stacidomon?"
"How can I get to the beach from here?","Как мне попасть на пляж отсюда?","Kiel mi povas atingi la plaĝon de ĉi tie?"
"Excuse me, where's the police station?","Извините, где находится полицейский участок?","Pardonu, kie estas la policejo?"
"Excuse me, how can I get to this place?","Извините, как я могу добраться до этого места?","Pardonu, kiel mi povas atingi ĉi tiun lokon?"
"Excuse me, do you know where the post office is?","Простите, вы знаете, где почта?","Pardonu, ĉu vi scias, kie estas la poŝtejo?"
"Excuse me, could you tell me how to get to the bus station?","Простите, не могли бы вы сказать мне, как добраться до автобусного вокзала?","Pardonu, ĉu vi povus diri al mi, kiel atingi la aŭtobusan stacion?"
"Is this the way to Sydney Harbour Bridge?","Это дорога до Сидней-Харбор-Бридж?","Ĉu ĉi tio estas la vojo al Sydney Harbour Bridge?"
"Do you know where there's an internet café?","Вы знаете, где здесь интернет-кафе?","Ĉu vi scias, kie ĉi tie troviĝas interreta kafejo?"
"Do you know where the Canadian embassy is?","Вы знаете, где находится канадское посольство?","Ĉu vi scias, kie troviĝas la kanada ambasadorejo?"
"Would you tell me how to get to this hotel?","Не могли бы вы мне сказать, как добраться до этого отеля?","Ĉu vi povus diri al mi, kiel atingi ĉi tiun hotelon?"
"How long does it take to get there?","Сколько времени туда добираться?","Kiom da tempo necesas por atingi tien?"
"Could you tell me, please, how to get to the shop?","Не могли бы вы сказать мне, пожалуйста, как дойти до магазина?","Ĉu vi povus diri al mi, mi petas, kiel iri al la vendejo?"
"Can I walk or should I take a taxi?","Я могу дойти пешком, или лучше взять такси?","Ĉu mi povas iri piede, aŭ ĉu mi prenu taksion?"
"How long will it take me to walk there?","Сколько времени у меня займёт дойти туда?","Kiom da tempo mi bezonos por piediri tien?"
"Please point out where I am on this map.","Пожалуйста, покажите на карте, где я сейчас нахожусь.","Bonvolu montri sur ĉi tiu mapo, kie mi nun troviĝas"
"I'm having trouble finding my way around.","Я не могу сориентироваться.","Mi malfacile orientiĝas"
"Left","Налево.","Maldekstren"
"Right","Направо.","Dekstren"
"Go back.","Вернитесь назад.","Revenu"
"I can show you.","Я могу вам показать.","Mi povas montri al vi"
"Right here.","Прямо здесь.","Ĝuste ĉi tie"
"Go down there.","Идите туда, вниз.","Iru tien malsupren"
"Straight ahead.","Прямо вперёд.","Rekte antaŭen"
"It's near here.","Это рядом.","Ĝi estas proksime de ĉi tie"
"At the junction.","На перекрёстке.","Ĉe la kruciĝo"
"Behind the bank.","За банком.","Malantaŭ la banko"
"North","Север","Nordo"
"South","Юг","Sudo"
"East","Восток","Oriento"
"West","Запад","Okcidento"
"It's not too far.","Это не очень далеко.","Ĝi ne estas tro malproksime"
"It's quite close.","Это довольно близко.","Ĝi estas sufiĉe proksime"
"A little bit further.","Немного дальше.","Iom plu"
"It's a long way to walk.","Пешком идти далеко.","Piede estas malproksime"
"Around the corner.","За углом.","Ĉirkaŭ la angulo"
"It will be on your left.","Она будет слева от вас.","Ĝi estos maldekstre de vi"
"Across from the post office.","Напротив почты.","Kontraŭ la poŝtoficejo"
"At the traffic lights.","На светофоре.","Ĉe la semaforo"
"Next to the bus station.","Сразу за автобусной остановкой.","Tuj malantaŭ la aŭtobushaltejo"
"Go through the park.","Идите через парк.","Iru tra la parko"
"Go straight. Then turn left.","Идите прямо. Затем поверните налево.","Iru rekte. Poste turnu maldekstren"
"You'd better take the bus.","Вам лучше поехать на автобусе.","Vi pli bone prenu la buson"
"Continue straight ahead for about a kilometre.","Продолжайте идти прямо около километра.","Daŭrigu rekte antaŭen ĉirkaŭ unu kilometron"
"Sorry, I don't know the way.","Извините, я не знаю дорогу.","Pardonu, mi ne scias la vojon"
"It's a short walk.","Это в двух шагах.","Ĝi estas je du paŝoj"
"It's about a five-minute walk.","Это примерно в пяти минутах ходьбы.","Estas proksimume kvinminuta piediro"
"It's quite far from here.","Это довольно далеко отсюда.","Ĝi estas sufiĉe malproksime de ĉi tie"
"It's near the supermarket.","Это рядом с супермаркетом.","Ĝi estas proksime de la superbazaro"
"It's right across the street.","Это прямо на другой стороне улицы.","Ĝi estas ĝuste trans la strato"
"It's right there, in front of you.","Это прямо здесь, перед вами.","Ĝi estas ĝuste tie, antaŭ vi"
"It will be straight ahead of you.","Оно будет прямо перед вами.","Ĝi estos rekte antaŭ vi"
"It will take you quite a while to get there.","Вам потребуется некоторое время, чтобы туда добраться.","Vi bezonos sufiĉe da tempo por alveni tien"
"At the end of the street.","В конце улицы.","Ĉe la fino de la strato"
"At the corner of the boulevard.","На углу бульвара.","Ĉe la angulo de la bulvardo"
"Continue past the fire station.","Пройдите мимо пожарной части.","Daŭrigu preter la fajrobrigadejo"
"Keep going for another two hundred metres.","Пройдите ещё двести метров.","Daŭrigu ankoraŭ ducent metrojn"
"Keep going for another half kilometre.","Пройдите ещё полкилометра.","Daŭrigu ankoraŭ duonkilometron"
"Continue straight on past some traffic lights.","Продолжайте идти прямо мимо светофоров.","Daŭrigu rekten preter kelkaj semaforoj"
"You're going the wrong way.","Вы идёте неправильной дорогой.","Vi iras laŭ la malĝusta vojo"
"You'd better take the tram.","Вам лучше поехать на трамвае.","Vi prefere veturu per tramo"
"Use the pedestrian subway.","Воспользуйтесь подземным переходом.","Uzu la subpasejon"
"Follow the signs for the city centre.","Следуйте указателям, ведущим в центр города.","Sekvu la indikilojn al la urbocentro"
"Sorry, I don't know the town.","Извините, я не знаю города.","Pardonu, mi ne konas la urbon"
"Sorry, I'm not from around here.","Извините, я не отсюда.","Pardonu, mi ne estas de ĉi tie"
"I'm a foreigner.","Я иностранец.","Mi estas eksterlandano"
"Are there any motels?","Здесь есть мотели?","Ĉu estas moteloj ĉi tie?"
"Where's the city centre?","Где находится центр города?","Kie estas la urbocentro?"
"Have you got a map?","У вас есть карта?","Ĉu vi havas mapon?"
"I want to go sightseeing.","Я хочу посмотреть достопримечательности.","Mi volas viziti vidindaĵojn"
"Where can I hire a car?","Где можно арендовать машину?","Kie mi povas lui aŭton?"
"Where are the buses?","Где стоят автобусы?","Kie staras la aŭtobusoj?"
"Where is the park?","Где находится парк?","Kie estas la parko?"
"Where is the museum?","Где находится музей?","Kie estas la muzeo?"
"Where's the cathedral?","Где находится собор?","Kie estas la katedralo?"
"Where's the market?","Где находится рынок?","Kie estas la merkato?"
"Is there a bus into town?","Есть автобус, который идёт в город?","Ĉu estas aŭtobuso al la urbo?"
"Is there a pub in the town?","В этом городе есть бар?","Ĉu estas drinkejo en la urbo?"
"Is there a theatre in this town?","В этом городе есть театр?","Ĉu estas teatro en ĉi tiu urbo?"
"Where is the tourist information office?","Где находится туристическое бюро?","Kie estas la turista informejo?"
"Do you know the number to call a taxi?","Вы знаете номер, по которому можно заказать такси?","Ĉu vi scias la numeron por voki taksion?"
"Have you got any brochures?","У вас есть какие-нибудь брошюры?","Ĉu vi havas broŝurojn?"
"We need somewhere to stay.","Нам надо где-то остановиться.","Ni bezonas ie resti"
"Where is the nearest hotel?","Где ближайший отель?","Kie estas la plej proksima hotelo?"
"Can I book a hotel room here?","Могу ли я забронировать здесь номер?","Ĉu mi povas rezervi hotelĉambron ĉi tie?"
"How many stars has it got?","Сколько у него звёзд?","Kiom da steloj ĝi havas?"
"Where's the airport?","Где находится аэропорт?","Kie estas la flughaveno?"
"Where's the art gallery?","Где находится картинная галерея?","Kie estas la artgalerio?"
"Where's the main shopping area?","Где находится главный торговый район?","Kie estas la ĉefa komerca kvartalo?"
"Where is the botanical garden?","Где находится ботанический сад?","Kie estas la botanika ĝardeno?"
"Where's the nearest restaurant?","Где находится ближайший ресторан?","Kie estas la plej proksima restoracio?"
"Where are the ruins?","Где находятся руины?","Kie estas la ruinoj?"
"I would like to see the old town.","Я бы хотел увидеть старый квартал города.","Mi ŝatus vidi la malnovan urboparton"
"We're looking for accommodation.","Мы ищем, где остановиться.","Ni serĉas loĝejon"
"Could you book accommodation for me?","Не могли бы вы забронировать для меня жильё?","Ĉu vi povus rezervi loĝejon por mi?"
"I'd like to stay in the city centre.","Я бы хотела остановиться в центре города.","Mi ŝatus loĝi en la urbocentro"
"Have you got a list of youth hostels?","У вас есть список молодёжных хостелов?","Ĉu vi havas liston de junulargastejoj?"
"Can you recommend any good campsites?","Вы можете порекомендовать хорошие места для кемпинга?","Ĉu vi povas rekomendi bonajn tendumejojn?"
"Please give me a map of the city.","Пожалуйста, дайте мне карту города.","Bonvolu doni al mi mapon de la urbo"
"Have you got a programme of events?","У вас есть программа мероприятий?","Ĉu vi havas programon de eventoj?"
"What are the main points of interest?","Где находятся основные достопримечательности?","Kie troviĝas la ĉefaj vidindaĵoj?"
"Can you recommend a good restaurant?","Вы можете порекомендовать хороший ресторан?","Ĉu vi povas rekomendi bonan restoracion?"
"Can you recommend a good pub near here?","Можете порекомендовать хороший бар неподалёку?","Ĉu vi povas rekomendi bonan drinkejon ĉi tie proksime?"
"Where can I find a sandwich shop?","Где я могу найти закусочную?","Kie mi povas trovi sandviĉejon?"
"Where is the best place to go for a stroll?","Куда лучше всего пойти прогуляться?","Kien plej bone iri por promeni?"
"How do we get to the theatre?","Как нам добраться до театра?","Kiel ni povas atingi la teatron?"
"What's the best way of getting around the city?","Каков лучший способ передвигаться по городу?","Kiu estas la plej bona maniero moviĝi tra la urbo?"
"Is there an underground station nearby?","Здесь есть станция метро поблизости?","Ĉu estas metrostacio proksime?"
"Where can I catch the shuttle bus?","Где я могу сесть на маршрутный автобус?","Kie mi povas preni la navedbuson?"
"Have you got any information on local taxi services?","У вас есть какая-нибудь информация об услугах местного такси?","Ĉu vi havas informojn pri lokaj taksiservoj?"
"Are there any tours?","Есть ли какие-нибудь экскурсии?","Ĉu estas iuj ekskursoj?"
"You can't miss it.","Вы её не пропустите.","Vi ne povas maltrafi ĝin"
"Can I have a guide?","Можно мне гида?","Ĉu mi povas havi gvidiston?"
"Can you take photos?","Можете сфотографировать?","Ĉu vi povas foti?"
"Are there any day trips?","Есть ли какие-нибудь однодневные экскурсии?","Ĉu estas iuj unutagaj ekskursoj?"
"Which is the best route?","Какой маршрут лучше всего?","Kiu estas la plej bona vojo?"
"Is there a city tour?","Есть экскурсия по городу?","Ĉu estas urba ekskurso?"
"When's the next tour?","Когда следующая экскурсия?","Kiam estas la sekva ekskurso?"
"How much does this tour cost?","Сколько стоит эта экскурсия?","Kiom kostas ĉi tiu ekskurso?"
"What time does it start?","Во сколько она начинается?","Je kioma horo ĝi komenciĝas?"
"What time do we return?","Во сколько мы возвращаемся?","Je kioma horo ni revenas?"
"Who will be our guide?","Кто будет нашим гидом?","Kiu estos nia gvidanto?"
"Are there any meals included?","Питание включено в стоимость?","Ĉu manĝoj estas inkluzivitaj en la prezo?"
"I would like these photographs enlarged.","Я бы хотела увеличить эти фотографии.","Mi ŝatus grandigi ĉi tiujn fotografiojn"
"When will the photos be ready?","Когда будут готовы фотографии?","Kiam estos pretaj la fotoj?"
"Are there any excursions?","Есть ли какие-нибудь экскурсии?","Ĉu estas iuj ekskursoj?"
"Here is the list of excursions.","Вот список экскурсий.","Jen la listo de ekskursoj"
"What are you interested in?","Чем вы интересуетесь?","Pri kio vi interesiĝas?"
"I'd like to book a trip to Berlin.","Я бы хотела забронировать поездку в Берлин.","Mi ŝatus rezervi vojaĝon al Berlino"
"Have you got any brochures on local attractions?","У вас есть какие-нибудь брошюры о местных достопримечательностях?","Ĉu vi havas iujn broŝurojn pri lokaj vidindaĵoj?"
"Are there any tours in Estonian?","Есть ли какие-нибудь экскурсии на эстонском?","Ĉu estas ekskursoj en la estona?"
"Can we take a bicycle tour?","Мы можем заказать велосипедную экскурсию?","Ĉu ni povas mendi biciklan ekskurson?"
"What bus tours are available?","Какие автобусные экскурсии доступны?","Kiuj aŭtobusaj ekskursoj estas disponeblaj?"
"What sights are we going to see?","Какие достопримечательности мы увидим?","Kiujn vidindaĵojn ni vidos?"
"Do you need a guided tour?","Вам нужна экскурсия с гидом?","Ĉu vi bezonas gvidatan ekskurson?"
"When and where can we meet?","Когда и где мы можем встретиться?","Kiam kaj kie ni povas renkontiĝi?"
"What time do we leave?","Во сколько мы отправляемся?","Je kioma horo ni foriras?"
"Can I get off at the hotel?","Я могу выйти у отеля?","Ĉu mi povas eliri ĉe la hotelo?"
"Excuse me, could you take a photo for me?","Извините, вы могли бы меня сфотографировать?","Pardonu, ĉu vi povus foti min?"
"I'd like to pick up my photos.","Я бы хотела получить фотографии.","Mi ŝatus preni miajn fotojn"
"Where can I sign up for the excursion?","Где я могу записаться на экскурсию?","Kie mi povas aliĝi al la ekskurso?"
"Have you got a brochure describing tours and excursions?","У вас есть брошюра с описанием туров и экскурсий?","Ĉu vi havas broŝuron priskribantan turojn kaj ekskursojn?"
"What other interesting things are there to see?","Что ещё интересного можно тут увидеть?","Kion alian interesan oni povas vidi ĉi tie?"
"Can you recommend a sightseeing tour?","Вы можете порекомендовать обзорный тур?","Ĉu vi povas rekomendi vidindaĵan ekskurson?"
"What kind of tour would you prefer?","Какого рода тур вы бы предпочли?","Kian turon vi preferus?"
"I would like to visit the Parliament House.","Я бы хотел посетить здание Парламента.","Mi ŝatus viziti la Parlamentejon"
"I'd like a Georgian speaking guide.","Я хочу гида, говорящего на грузинском.","Mi ŝatus gvidiston, kiu parolas la kartvelan"
"Is an all-day tour available here?","Здесь можно найти полнодневный тур?","Ĉu tuttaga ekskurso haveblas ĉi tie?"
"Can I join the tour at the hotel?","Я могу присоединиться к туру в отеле?","Ĉu mi povas aliĝi al la ekskurso ĉe la hotelo?"
"Are there any cultural events on at the moment?","Сейчас проходят какие-нибудь культурные мероприятия?","Ĉu nun okazas iuj kulturaj eventoj?"
"Are there any exhibitions on at the moment?","Сейчас проходят какие-нибудь выставки?","Ĉu nun okazas iuj ekspozicioj?"
"Could you tell us what's on at the concert hall?","Не могли бы вы сказать нам, что идёт в концертном зале?","Ĉu vi povus diri al ni, kio okazas en la koncertejo?"
"Would you please tell me what museums are here?","Не могли бы вы, пожалуйста, сказать мне, какие здесь есть музеи?","Ĉu vi povus diri al mi, kiuj muzeoj estas ĉi tie?"
"Will there be an opportunity to take some photographs?","У нас будет возможность сделать несколько фотографий?","Ĉu ni havos okazon fari kelkajn fotojn?"
"Could you print the photos from this memory card?","Вы могли бы распечатать фотографии с этой карты памяти?","Ĉu vi povus presi la fotojn de ĉi tiu memorkarto?"
"I think some of these photos are underexposed.","Я думаю, некоторые из этих фотографий затемнённые.","Mi pensas, ke kelkaj el ĉi tiuj fotoj estas subeksponitaj"
